Genotype ,PLOT ID,REP,Fresh Weight,Leaf Area,SPAD 1,SPAD 2 ,SPAD 3,Field Location,Growth Stage,Source
PHJ40 x LH82,5247,2,6.3,306.6,48.4,47.3,49,HIPS,1,GH
LH123HT x 3IIH6,5249,1,5.85,282.1,46.3,52.4,46.1,HIPS,1,GH
LH123HT x 3IIH6,5249,2,5.2,248.4,36.8,34.7,41.8,HIPS,1,GH
B73 x 3IIH6,5261,1,8.6,309,42.1,52.2,54.5,HIPS,1,GH
B73 x 3IIH6,5261,2,7.8,320.5,51.5,56,58.4,HIPS,1,GH
B37 x H95,5268,1,8.7,576.1,48.7,50.3,52,HIPS,1,GH
B37 x H95,5268,2,9.6,390.1,45.2,44.9,53.1,HIPS,1,GH
F42 x Mo17,5270,1,6,253,55.1,55.5,55.8,HIPS,1,GH
F42 x Mo17,5270,2,6.15,264.3,50.9,50.7,56.2,HIPS,1,GH
B73 x PHZ51,5272,1,3.7,172.5,44.9,44.6,46.9,HIPS,1,GH
B73 x PHZ51,5272,2,5.55,224.5,46,53.6,56.8,HIPS,1,GH
PHK76 x 3IIH6,6110,1,5.65,263.1,61.3,51.7,55,HIPS,1,GH
PHK76 x 3IIH6,6110,2,6.1,260.1,53.7,52.6,49.9,HIPS,1,GH
B73 x PHZ51,6111,1,5.15,216.6,49.3,46.7,53,HIPS,1,GH
B73 x PHZ51,6111,2,7.25,287.3,53.8,54.5,52.4,HIPS,1,GH
WF9 x H95,6116,1,4.85,253.5,47.1,51.6,49.1,HIPS,1,GH
WF9 x H95,6116,2,5.35,277.1,50.1,51.4,47.6,HIPS,1,GH
PHJ40 x LH82,6122,1,8.3,368.4,35.7,44,44,HIPS,1,GH
PHJ40 x LH82,6122,2,5.3,257.5,41.7,39.3,45.4,HIPS,1,GH
F42 x OH43,6127,1,7.2,308.7,47.2,52.2,57,HIPS,1,GH
F42 x OH43,6127,2,6.5,287.6,52.4,56.8,57.5,HIPS,1,GH
LH123HT x 3IIH6,6128,1,8.05,340.1,50.5,52.3,55.3,HIPS,1,GH
LH123HT x 3IIH6,6128,2,7.5,298.3,48.9,51.6,47.1,HIPS,1,GH
PHZ51 x LH145,6132,1,3.25,169.8,48,49.7,50.1,HIPS,1,GH
PHZ51 x LH145,6132,2,3.85,180.8,47.7,55.7,52.7,HIPS,1,GH
B84 x 3IIH6,6134,1,7.7,285.2,52.6,60.8,60.4,HIPS,1,GH
B84 x 3IIH6,6134,2,7.95,273.6,52.8,61.7,58.6,HIPS,1,GH
F42 x Mo17,6137,1,3.45,164.6,48.7,51.3,52.9,HIPS,1,GH
F42 x Mo17,6137,2,7.55,306.1,51,57.1,58.2,HIPS,1,GH
B14A x Mo17,6140,1,6.6,268.6,48.9,54.8,49.9,HIPS,1,GH
B14A x Mo17,6140,2,6,258.4,50.4,55.1,57.4,HIPS,1,GH
PHK76 x LH145,6143,1,2.9,139.7,44.7,44.6,54.3,HIPS,1,GH
PHK76 x LH145,6143,2,4,185.2,47.6,56.2,50.3,HIPS,1,GH
B73 x 3IIH6,6149,1,3.95,178.4,36.8,44,47,HIPS,1,GH
B73 x 3IIH6,6149,2,4,173,42.7,54.9,45.7,HIPS,1,GH
B37 x OH43,6153,1,6.65,285.9,57.1,57.9,59.1,HIPS,1,GH
B37 x OH43,6153,2,4.75,196.5,45.5,56.7,53.7,HIPS,1,GH
B37 x Mo17,6155,1,7.8,301.1,52.5,49.1,56.5,HIPS,1,GH
B37 x Mo17,6155,2,6.8,282.3,49.8,50.4,58.7,HIPS,1,GH
B37 x H95,6158,1,4.2,196.6,45.2,48.8,51.6,HIPS,1,GH
B37 x H95,6158,2,4.15,203.3,40.9,44.3,49.2,HIPS,1,GH
2FACC x 3IIH6,6159,1,7.4,302.3,51.9,55,57.4,HIPS,1,GH
2FACC x 3IIH6,6159,2,8.35,301.1,45,48.6,55.6,HIPS,1,GH
B73 x Mo17,6162,1,5,225.4,49,55.7,56.9,HIPS,1,GH
B73 x Mo17,6162,2,9.5,368.4,52.7,56.3,56.5,HIPS,1,GH
PHK76 x LH82,6170,1,,,,,,HIPS,1,GH
PHK76 x LH82,6170,2,,,,,,HIPS,1,GH
PHK76 x LH82,6174,1,4.25,211.2,49.9,47.2,47.8,HIPS,1,GH
PHK76 x LH82,6174,2,4.05,193.5,50.8,47.7,47.2,HIPS,1,GH
PHJ40 x LH82,6184,1,6.3,289.9,41.3,46.9,49.9,HIPS,1,GH
PHJ40 x LH82,6184,2,4.5,227.8,39.7,48.8,50.2,HIPS,1,GH
PHK76 x LH145,6210,1,7.1,316.4,45.3,53.1,55.1,HIPS,1,GH
PHK76 x LH145,6210,2,4.4,222.4,43.9,52.3,53.7,HIPS,1,GH
PHK76 x 3IIH6,6219,1,6.1,264.6,52.3,55.8,51.6,HIPS,1,GH
PHK76 x 3IIH6,6219,2,7.35,353.1,55.1,55.5,54.7,HIPS,1,GH
F42 x Mo17,6223,1,7.35,308.6,45.9,55.3,53.6,HIPS,1,GH
F42 x Mo17,6223,2,6.65,273.1,52,57.3,57.1,HIPS,1,GH
2FACC x 3IIH6,6226,1,6.2,232.3,45.4,48.1,50.5,HIPS,1,GH
