Genotype ,PLOT ID,Rep,Field Location,Growth Stage,Fresh Weight,Leaf Area
B73 x 3IIH6,6268,2,HIPS,1,5.35,205
F42 x OH43,6272,1,HIPS,1,5.75,260.6
F42 x OH43,6272,2,HIPS,1,6.1,261.6
B37 x H95,6274,1,HIPS,1,5.95,264.1
B37 x H95,6274,2,HIPS,1,8.7,357
PHZ51 x LH145,6276,1,HIPS,1,6.3,253.5
PHZ51 x LH145,6276,2,HIPS,1,7.45,332.9
B14A,1028,1,SAM,2,6.28,367
B14A,1028,2,SAM,2,8.85,436.2
2FACC,1052,1,SAM,2,9.1,387.8
2FACC,1052,2,SAM,2,8.22,368.4
PHZ51,1056,1,SAM,2,5.97,299.7
PHZ51,1056,2,SAM,2,4.38,248
B37,1077,1,SAM,2,8.04,352.2
B37,1077,2,SAM,2,7.41,336.7
B84@,1091,1,SAM,2,7.79,372
B84@,1091,2,SAM,2,7.73,370.7
Mo17@,1096,1,SAM,2,5.84,292
Mo17@,1096,2,SAM,2,7.48,340.2
Wf9@,1127,1,SAM,2,7.17,372.5
Wf9@,1127,2,SAM,2,9.47,478.6
Oh43E@,1144,1,SAM,2,8.77,440.1
Oh43E@,1144,2,SAM,2,10.49,505.1
LH123HT@,1157,1,SAM,2,7.73,365.7
LH123HT@,1157,2,SAM,2,7.54,379.6
Oh43@,1197,1,SAM,2,10.92,491.2
Oh43@,1197,2,SAM,2,7.8,420
LH82@,1206,1,SAM,2,7.75,400.5
LH82@,1206,2,SAM,2,7.22,383.7
PHJ40@,1217,1,SAM,2,9.49,425.1
PHJ40@,1217,2,SAM,2,9.01,409.7
PHK76@,1218,1,SAM,2,10.09,464.1
PHK76@,1218,2,SAM,2,8.45,417.7
3IIH6@,1239,1,SAM,2,6.89,313.8
3IIH6@,1239,2,SAM,2,6.88,316.1
LH145@,1252,1,SAM,2,6.21,311
LH145@,1252,2,SAM,2,4.3,249
H95@,1289,1,SAM,2,7.1,335.4
H95@,1289,2,SAM,2,6.95,363.7
F42@,1330,1,SAM,2,7.99,347.5
F42@,1330,2,SAM,2,8.44,378
H95@,2053,1,SAM,2,6.51,336.4
H95@,2053,2,SAM,2,8.13,400.9
3IIH6@,2060,1,SAM,2,7.94,345.5
3IIH6@,2060,2,SAM,2,8.45,355.1
PHK76@,2068,1,SAM,2,7.14,363.3
PHK76@,2068,2,SAM,2,8.6,402.2
LH145@,2098,1,SAM,2,6.11,302.2
LH145@,2098,2,SAM,2,5.8,305.5
Oh43@,2109,1,SAM,2,8.31,351.8
