Genotype ,Plot_ID,Rep,Location,Growth_Stage,Fresh_Weight,Leaf_Area,SPAD_1,SPAD_2 ,SPAD_3,SLA
PHK76 x LH82,5206,1,HIPS,1,7,319.8,54.4,50.8,59.1,
PHK76 x LH82,5206,2,HIPS,1,8,337.4,46.5,57.6,51.9,
B37 x OH43,5210,1,HIPS,1,9.05,376.3,43.9,62.4,57,
B37 x OH43,5210,2,HIPS,1,7.9,236.1,48.5,54.1,57.6,
B84 x 3IIH6,5211,1,HIPS,1,9,314.1,46.8,58.4,57.5,
B84 x 3IIH6,5211,2,HIPS,1,9.5,347.6,46.7,65.4,58,
B37 x Mo17,5216,1,HIPS,1,6.6,292.9,47.5,42.2,50.2,
B37 x Mo17,5216,2,HIPS,1,9.1,373,46.5,54.4,49.4,
F42 x OH43,5220,1,HIPS,1,7.35,301.7,48.9,54.5,56.5,
F42 x OH43,5220,2,HIPS,1,8.5,357.5,46.8,56.5,56.2,
PHZ51 x LH145,5227,1,HIPS,1,8.05,297.7,48.3,50.6,51.8,
PHZ51 x LH145,5227,2,HIPS,1,5.6,253,44.9,48,45.8,
B14A x Mo17,5237,1,HIPS,1,9.1,343.8,55.5,55.3,54.1,
B14A x Mo17,5237,2,HIPS,1,6.95,274.3,52.1,51.6,58,
WF9 x H95,5238,1,HIPS,1,6.9,275.1,48.7,53.5,52.3,
WF9 x H95,5238,2,HIPS,1,5.7,240.6,47.5,51,52.2,
PHK76 x 3IIH6,5240,1,HIPS,1,2.95,131.8,47.1,46.3,48.5,
PHK76 x 3IIH6,5240,2,HIPS,1,7.7,305.3,56.4,52.7,49.7,
PHK76 x LH145,5243,1,HIPS,1,5.15,219.9,50.2,52.6,55,
PHK76 x LH145,5243,2,HIPS,1,4.65,212.6,46,52.3,52.6,
B73 x Mo17,5245,1,HIPS,1,5.85,263.9,46.4,48.9,54.2,
B73 x Mo17,5245,2,HIPS,1,8.75,328.7,44.8,56.5,57.8,
PHJ40 x LH82,5247,1,HIPS,1,5.2,267.2,39.4,46.1,36,
PHJ40 x LH82,5247,2,HIPS,1,6.3,306.6,48.4,47.3,49,
LH123HT x 3IIH6,5249,1,HIPS,1,5.85,282.1,46.3,52.4,46.1,
LH123HT x 3IIH6,5249,2,HIPS,1,5.2,248.4,36.8,34.7,41.8,
B73 x 3IIH6,5261,1,HIPS,1,8.6,309,42.1,52.2,54.5,
B73 x 3IIH6,5261,2,HIPS,1,7.8,320.5,51.5,56,58.4,
B37 x H95,5268,1,HIPS,1,8.7,576.1,48.7,50.3,52,
B37 x H95,5268,2,HIPS,1,9.6,390.1,45.2,44.9,53.1,
F42 x Mo17,5270,1,HIPS,1,6,253,55.1,55.5,55.8,
F42 x Mo17,5270,2,HIPS,1,6.15,264.3,50.9,50.7,56.2,
B73 x PHZ51,5272,1,HIPS,1,3.7,172.5,44.9,44.6,46.9,
B73 x PHZ51,5272,2,HIPS,1,5.55,224.5,46,53.6,56.8,
PHK76 x 3IIH6,6110,1,HIPS,1,5.65,263.1,61.3,51.7,55,
PHK76 x 3IIH6,6110,2,HIPS,1,6.1,260.1,53.7,52.6,49.9,
B73 x PHZ51,6111,1,HIPS,1,5.15,216.6,49.3,46.7,53,
B73 x PHZ51,6111,2,HIPS,1,7.25,287.3,53.8,54.5,52.4,
WF9 x H95,6116,1,HIPS,1,4.85,253.5,47.1,51.6,49.1,
WF9 x H95,6116,2,HIPS,1,5.35,277.1,50.1,51.4,47.6,
